Model,n_windows,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
XGBoost,5,0.7280334833831418,0.07559240309803346,0.5640430323226918,0.06769242842161545,0.39385641503935476,0.07671774770877379
Random Forest,5,0.7291704740105229,0.07655596821801257,0.5639704329466104,0.06742731448453361,0.39095576536745774,0.08748091346637323
DNN,5,0.7478545000029552,0.0714893418177698,0.5804954490960641,0.061131884979550515,0.3603598923961828,0.07167861977804407
SVR,5,0.7945492600753082,0.056985938506889676,0.6207762865476729,0.05181317631643153,0.27714173697979,0.0669933938209806
Linear Regression,5,0.8635552205229488,0.06281574566741002,0.6785157347047721,0.05718048354941744,0.14599557487127374,0.08106768717488015
