Model,RMSE,MAE,R2,RMSE_STD,MAE_STD,R2_STD,n_seeds
XGBoost,0.804551752072872,0.6345172142502705,0.368258197917399,,,,
Random Forest,0.8064736514964413,0.6327022951245479,0.3652364050605442,,,,
DNN,0.8396251638833234,0.6573732170849652,0.3119684430411606,0.003436653974246316,0.005867948958500857,0.005632044775241453,5.0
SVR,0.8628005175624989,0.6836542054041466,0.273471861969692,,,,
Linear Regression,0.9297076376974811,0.7412701702762332,0.15642355875842495,,,,
